Lankinen, Kevin
Pionk, Neal
Stone, Mark
Perfetti, Cole
Gustavsson, Filip
Barbashev, Ivan
Boldy, Matt
Ingram, Connor
Kesselring, Michael
McDonagh, Ryan
Swayman, Jeremy
Lingren, Charlie
Kopitar, Anze
Zacha, Pavel
Marner, Mitchell
Aho, Sebastian
Batherson, Drake
Tuch, Alex
van Riemsdyk, James
Oshie, T.J.
Compher, J.T.
Toffoli, Tyler
Carlson, John
Weegar, MacKenzie
Toews, Devon
Karlsson, Erik
Oettinger, Jake
Montembeault, Sam
MacKinnon, Nathan
Kempe, Adrian
Kane, Patrick
Trocheck, Vincent
Thompson, Tage
Byfield, Quinton
Rossi, Marco
Necas, Martin
Dobson, Noah
Seider, Moritz
Zellweger, Olen
Mintyukov, Pavel
Vasilevskiy, Andrei
Woll, Joseph
Bedard, Connor
Nylander, William
Nyquist, Gustav
Kreider, Chris
Boeser, Brock
Mittelstadt, Casey
Maccelli, Matias
Fiala, Kevin
Konecny, Travis
Morrissey, Josh
Matheson, Mike
Burns, Brent
Raddysh, Darren
Bobrovsky, Sergei
Binnington, Jordan
Reinhart, Sam
Slafkovský, Juraj
Lafreniere, Alexis
Michkov, Matvei
Marchessault, Jonathan
Malkin, Evgeni
#Karlsson, William
Hischier, Nico
Tkachuk, Brady
Makar, Cale
Chychrun, Jakob
Forsling, Gustav
Clarke, Brandt
Georgiev, Alexandar
#Knight, Spencer
Verhaeghe, Carter
Marchand, Brad
Duchene, Matt
Kurashev, Philipp
Coyle, Charlie
Forsberg, Filip
Strome, Dylan
Eichel, Jack
Bouchard, Evan
Gostisbehere, Shayne
Theodore, Shea
Durzi, Sean
Shesterkin, Igor
Demko, Thatcher
Rantanen, Mikko
Lehkonen, Artturi
Perron, David
Strome, Ryan
Zuccarello, Mats
Palat, Ondrej
Benn, Jamie
Drouin, Jonathan
Hanifin, Noah
Miller, K'Andre
Letang, Kris
Girard, Samuel
Jarry, Tristan
Kucherov, Nikita
Pastrnak, David
Stutzle, Tim
Connor, Kyle
Eklund, William
Granlund, Mikael
Vatrano, Frank
Raymond, Lucas
Barzal, Mathew
Andersson, Rasmus
Harley, Thomas
Hughes, Luke
Heiskanen, Miro
Skinner, Stuart
Andersen, Frederik
McDavid, Connor
Celebrini, Macklin
Dach, Kirby
Cooley, Logan
Nugent-Hopkins, Ryan
Barkov, Aleksander
Foerster, Tyson
Pettersson, Elias
Larkin, Dylan
Hughes, Quinn
McDonagh, Ryan
Ellis, Ryan
Guhle, Kaiden
Ersson, Samuel
#Allen, Jake
Draisaitl, Leon
Hyman, Zach
Guenther, Dylan
O'Reilly, Ryan
Tarasenko, Vladimir
Stankoven, Logan
Matthews, Auston
Carlsson, Leo
Josi, Roman
Hutson, Lane
Werenski, Zach
Dunn, Vince
Hill, Adin
Ullmark, Linus
Robertson, Jason
Johnston, Wyatt
Keller, Clayton
McTavish, Mason
Tkachuk, Matthew
Sharangovich, Yegor
Fantilli, Adam
Thomas, Robert
Bunting, Michael
Fox, Adam
Faber, Brock
Byram, Bowen
Faulk, Justin
Hellebuyck, Connor
Markstrom, Jacob
McMichael, Connor
Ehlers, Nikolaj
Bennett, Sam
Suzuki, Nick
Laferriere, Alex
Hughes, Jack
Crosby, Sidney
Kaprizov, Kirill
Ovechkin, Alex
Miller, J.T.
Ristolainen, Rasmus
